Epoch 79/200,Train_Loss: 0.2234,Train_Accuracy: 0.9206,train_F1: 0.9206,train_AUC: 0.9833, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 80/200,Train_Loss: 0.1976,Train_Accuracy: 0.9603,train_F1: 0.9603,train_AUC: 0.9921, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 81/200,Train_Loss: 0.2068,Train_Accuracy: 0.9206,train_F1: 0.9206,train_AUC: 0.9828, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 82/200,Train_Loss: 0.3578,Train_Accuracy: 0.9365,train_F1: 0.9365,train_AUC: 0.9390, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 83/200,Train_Loss: 0.3022,Train_Accuracy: 0.9524,train_F1: 0.9524,train_AUC: 0.9754, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 84/200,Train_Loss: 0.2358,Train_Accuracy: 0.9603,train_F1: 0.9603,train_AUC: 0.9557, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 85/200,Train_Loss: 0.3080,Train_Accuracy: 0.8889,train_F1: 0.8889,train_AUC: 0.9636, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 86/200,Train_Loss: 0.2393,Train_Accuracy: 0.8889,train_F1: 0.8889,train_AUC: 0.9803, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 87/200,Train_Loss: 0.2711,Train_Accuracy: 0.8889,train_F1: 0.8889,train_AUC: 0.9621, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 88/200,Train_Loss: 0.2597,Train_Accuracy: 0.8968,train_F1: 0.8968,train_AUC: 0.9715, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 89/200,Train_Loss: 0.1929,Train_Accuracy: 0.9683,train_F1: 0.9683,train_AUC: 0.9936, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 90/200,Train_Loss: 0.2648,Train_Accuracy: 0.9286,train_F1: 0.9286,train_AUC: 0.9675, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 91/200,Train_Loss: 0.1940,Train_Accuracy: 0.9206,train_F1: 0.9206,train_AUC: 0.9803, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 92/200,Train_Loss: 0.2952,Train_Accuracy: 0.9365,train_F1: 0.9365,train_AUC: 0.9803, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 93/200,Train_Loss: 0.2505,Train_Accuracy: 0.9286,train_F1: 0.9286,train_AUC: 0.9631, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 94/200,Train_Loss: 0.2250,Train_Accuracy: 0.9127,train_F1: 0.9127,train_AUC: 0.9754, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 95/200,Train_Loss: 0.1844,Train_Accuracy: 0.9365,train_F1: 0.9365,train_AUC: 0.9838, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 96/200,Train_Loss: 0.2045,Train_Accuracy: 0.9206,train_F1: 0.9206,train_AUC: 0.9813, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 97/200,Train_Loss: 0.2896,Train_Accuracy: 0.9286,train_F1: 0.9286,train_AUC: 0.9390, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 98/200,Train_Loss: 0.2260,Train_Accuracy: 0.9365,train_F1: 0.9365,train_AUC: 0.9754, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 99/200,Train_Loss: 0.2481,Train_Accuracy: 0.9127,train_F1: 0.9127,train_AUC: 0.9680, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 100/200,Train_Loss: 0.1769,Train_Accuracy: 0.9444,train_F1: 0.9444,train_AUC: 0.9887, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 101/200,Train_Loss: 0.2950,Train_Accuracy: 0.9286,train_F1: 0.9286,train_AUC: 0.9390, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 102/200,Train_Loss: 0.1832,Train_Accuracy: 0.9365,train_F1: 0.9365,train_AUC: 0.9862, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 103/200,Train_Loss: 0.1984,Train_Accuracy: 0.9444,train_F1: 0.9444,train_AUC: 0.9823, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 104/200,Train_Loss: 0.3048,Train_Accuracy: 0.9286,train_F1: 0.9286,train_AUC: 0.9405, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 105/200,Train_Loss: 0.2144,Train_Accuracy: 0.9365,train_F1: 0.9365,train_AUC: 0.9739, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 106/200,Train_Loss: 0.2163,Train_Accuracy: 0.9444,train_F1: 0.9444,train_AUC: 0.9715, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 107/200,Train_Loss: 0.1678,Train_Accuracy: 0.9444,train_F1: 0.9444,train_AUC: 0.9872, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 108/200,Train_Loss: 0.2046,Train_Accuracy: 0.9365,train_F1: 0.9365,train_AUC: 0.9857, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 109/200,Train_Loss: 0.2119,Train_Accuracy: 0.9127,train_F1: 0.9127,train_AUC: 0.9695, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 110/200,Train_Loss: 0.3190,Train_Accuracy: 0.9048,train_F1: 0.9048,train_AUC: 0.9626, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
