Epoch 82/500, Train_Loss: 0.0044, Train_Accuracy: 0.2671, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.2857,Test_Accuracy: 0.4074
Epoch 83/500, Train_Loss: 0.0039, Train_Accuracy: 0.6712, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.5185
Epoch 84/500, Train_Loss: 0.0031, Train_Accuracy: 0.8014, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7407
Epoch 85/500, Train_Loss: 0.0035, Train_Accuracy: 0.8767, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7778
Epoch 86/500, Train_Loss: 0.0040, Train_Accuracy: 0.8630, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7407
Epoch 87/500, Train_Loss: 0.0033, Train_Accuracy: 0.8219, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7778
Epoch 88/500, Train_Loss: 0.0032, Train_Accuracy: 0.8356, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7407
Epoch 89/500, Train_Loss: 0.0038, Train_Accuracy: 0.5137, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.5185
Epoch 90/500, Train_Loss: 0.0033, Train_Accuracy: 0.7466, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7778
Epoch 91/500, Train_Loss: 0.0039, Train_Accuracy: 0.7260, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.5556
Epoch 92/500, Train_Loss: 0.0031, Train_Accuracy: 0.8425, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7407
Epoch 93/500, Train_Loss: 0.0039, Train_Accuracy: 0.5548, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.4444
Epoch 94/500, Train_Loss: 0.0037, Train_Accuracy: 0.7192, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.5556
Epoch 95/500, Train_Loss: 0.0037, Train_Accuracy: 0.8767, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7778
Epoch 96/500, Train_Loss: 0.0033, Train_Accuracy: 0.8767, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7778
Epoch 97/500, Train_Loss: 0.0046, Train_Accuracy: 0.8493, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7407
Epoch 98/500, Train_Loss: 0.0036, Train_Accuracy: 0.8767, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7778
Epoch 99/500, Train_Loss: 0.0034, Train_Accuracy: 0.7397, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.6429,Test_Accuracy: 0.7778
Epoch 100/500, Train_Loss: 0.0032, Train_Accuracy: 0.8630, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.7407
Epoch 101/500, Train_Loss: 0.0038, Train_Accuracy: 0.5548, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.4444
Epoch 102/500, Train_Loss: 0.0038, Train_Accuracy: 0.5411, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.6667
Epoch 103/500, Train_Loss: 0.0033, Train_Accuracy: 0.7808, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.7407
Epoch 104/500, Train_Loss: 0.0033, Train_Accuracy: 0.8699, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.7778
Epoch 105/500, Train_Loss: 0.0035, Train_Accuracy: 0.6986, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.8148
Epoch 106/500, Train_Loss: 0.0036, Train_Accuracy: 0.8493, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.7778
Epoch 107/500, Train_Loss: 0.0039, Train_Accuracy: 0.6096, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.5926
